document_id,unique_id,college,jaar,n_woorden,is_co_advies,beleidsreikwijdte,operationaliteit_rapport,beinvloedbaarheid_rapport,veldconsultatie_niveau,scenarios_aanwezig,beleidsopties_aanwezig,orde_van_verandering,aanbevelingen_aantal,probleemdefinities_aantal,meta_gevraagd_ongevraagd,meta_advies_aanvrager,meta_aanbevelingen_aantal,meta_mede_ondertekenaars_n,n_consultaties,n_beleidsopties,n_betrokken_actoren,n_unieke_actoren
17,Adviescollege_huis_en_hobbydierenlijst_001,Adviescollege huis- en hobbydierenlijst,2019,54256,False,sectoraal,gemiddeld,hoog,beperkt,False,False,tweede_orde,8,16,GEVRAAGD,MINISTER,,0,5,4,3,7
18,Adviescollege_Nederlandse_Gebarentaal_001,Adviescollege Nederlandse Gebarentaal,2024,1128,False,sectoraal,gemiddeld,hoog,onbekend,False,False,tweede_orde,7,2,ONBEKEND,ONBEKEND,8,0,0,0,0,0
19,Adviescollege_Nederlandse_Gebarentaal_002,Adviescollege Nederlandse Gebarentaal,2022,924,False,intersectoraal,gemiddeld,gemiddeld,onbekend,False,False,tweede_orde,2,3,ONBEKEND,ONBEKEND,2,0,0,0,1,1
34,Adviescollege_Openbaarheid_en_Informatiehuishouding_015,Adviescollege Openbaarheid en Informatiehuishouding,2025,2965,False,intersectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,12,9,ONBEKEND,ONBEKEND,,0,0,0,2,2
47,Adviescollege_Openbaarheid_en_Informatiehuishouding_028,Adviescollege Openbaarheid en Informatiehuishouding,2026,3726,False,sectoraal,gemiddeld,hoog,beperkt,False,False,tweede_orde,9,5,GEVRAAGD,MINISTER,,0,3,3,2,3
118,Adviescollege_Openbaarheid_en_Informatiehuishouding_077,Adviescollege Openbaarheid en Informatiehuishouding,2025,15299,False,intersectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,25,16,GEVRAAGD,MINISTER,,0,5,9,3,8
220,Adviescollege_Openbaarheid_en_Informatiehuishouding_186,Adviescollege Openbaarheid en Informatiehuishouding,2024,15939,False,intersectoraal,gemiddeld,hoog,beperkt,False,False,tweede_orde,20,14,GEVRAAGD,MINISTER,,0,7,6,5,10
226,Adviescollege_Openbaarheid_en_Informatiehuishouding_200,Adviescollege Openbaarheid en Informatiehuishouding,2024,25944,False,intersectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,10,6,GEVRAAGD,TWEEDE_KAMER,,0,6,5,2,8
248,Adviescollege_Openbaarheid_en_Informatiehuishouding_219,Adviescollege Openbaarheid en Informatiehuishouding,2024,10984,False,intersectoraal,hoog,hoog,beperkt,False,True,tweede_orde,28,6,GEVRAAGD,STAATSSECRETARIS,,0,5,5,4,9
264,Adviescollege_Openbaarheid_en_Informatiehuishouding_246,Adviescollege Openbaarheid en Informatiehuishouding,2024,5001,False,intersectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,9,6,ONBEKEND,ONBEKEND,4,0,12,6,3,12
282,Adviescollege_Openbaarheid_en_Informatiehuishouding_264,Adviescollege Openbaarheid en Informatiehuishouding,2023,1321,False,sectoraal,hoog,hoog,beperkt,False,False,tweede_orde,5,2,ONBEKEND,ONBEKEND,5,0,2,5,0,2
368,Adviescollege_Openbaarheid_en_Informatiehuishouding_320,Adviescollege Openbaarheid en Informatiehuishouding,2023,15873,False,intersectoraal,gemiddeld,hoog,hoog,False,False,tweede_orde,12,8,GEVRAAGD,MINISTER,,0,5,3,3,8
388,Adviescollege_Rechtspositie_Politieke_Ambtsdragers_002,Adviescollege Rechtspositie Politieke Ambtsdragers,2022,3800,False,sectoraal,hoog,hoog,beperkt,False,False,eerste_orde,6,4,GEVRAAGD,MINISTER,6,0,4,5,2,6
390,Adviescollege_Rechtspositie_Politieke_Ambtsdragers_003,Adviescollege Rechtspositie Politieke Ambtsdragers,2023,15956,False,sectoraal,hoog,hoog,beperkt,False,False,tweede_orde,29,8,GEVRAAGD,MINISTER,,0,4,5,3,7
537,Adviescollege_toetsing_regeldruk_118,Adviescollege toetsing regeldruk - permanent,2025,6833,False,sectoraal,hoog,hoog,hoog,False,False,tweede_orde,16,12,ONBEKEND,ONBEKEND,,0,0,0,1,1
553,Adviescollege_toetsing_regeldruk_147,Adviescollege toetsing regeldruk - permanent,2025,5781,False,sectoraal,hoog,hoog,beperkt,False,False,tweede_orde,14,18,ONBEKEND,ONBEKEND,,0,1,8,0,1
713,Adviescollege_toetsing_regeldruk_309,Adviescollege toetsing regeldruk - permanent,2023,7015,False,sectoraal,gemiddeld,hoog,beperkt,False,False,tweede_orde,15,18,GEVRAAGD,TWEEDE_KAMER,,0,1,3,0,1
1390,Adviescollege_Veiligheid_Groningen_008,Adviescollege Veiligheid Groningen - permanent,2024,13412,False,sectoraal,hoog,hoog,beperkt,False,False,tweede_orde,20,6,GEVRAAGD,STAATSSECRETARIS,,0,6,5,7,12
1405,Adviescollege_Veiligheid_Groningen_011,Adviescollege Veiligheid Groningen - permanent,2023,26269,False,sectoraal,gemiddeld,hoog,beperkt,False,False,tweede_orde,3,8,GEVRAAGD,STAATSSECRETARIS,,0,10,6,6,13
1412,Adviescollege_Veiligheid_Groningen_032,Adviescollege Veiligheid Groningen - permanent,2020,11865,False,sectoraal,gemiddeld,hoog,beperkt,False,False,tweede_orde,9,12,GEVRAAGD,MINISTER,9,0,7,9,10,17
1424,Adviesraad_internationale_vraagstukken_006,Adviesraad internationale vraagstukken,2025,29048,False,intersectoraal,gemiddeld,gemiddeld,beperkt,True,False,tweede_orde,32,28,GEVRAAGD,MINISTER,9,0,1,12,1,2
1426,Adviesraad_internationale_vraagstukken_008,Adviesraad internationale vraagstukken,2025,28980,False,intersectoraal,gemiddeld,gemiddeld,beperkt,True,False,tweede_orde,27,28,ONBEKEND,ONBEKEND,,0,2,11,1,3
1436,Adviesraad_internationale_vraagstukken_017,Adviesraad internationale vraagstukken,2024,28288,False,intersectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,30,29,GEVRAAGD,MINISTER,10,0,2,12,5,7
1447,Adviesraad_internationale_vraagstukken_029,Adviesraad internationale vraagstukken,2022,30086,False,intersectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,16,14,GEVRAAGD,MINISTER,10,0,4,12,6,9
1469,Adviesraad_internationale_vraagstukken_044,Adviesraad internationale vraagstukken,2025,28887,False,intersectoraal,gemiddeld,gemiddeld,hoog,False,False,tweede_orde,27,20,GEVRAAGD,MINISTER,8,0,6,8,6,12
1481,Adviesraad_internationale_vraagstukken_057,Adviesraad internationale vraagstukken,2024,27199,False,intersectoraal,gemiddeld,gemiddeld,beperkt,True,False,tweede_orde,23,28,GEVRAAGD,MINISTER,10,0,2,12,5,7
