document_id,unique_id,aanbeveling_index,niveau,aard,object_advies,specificiteit,operationaliteit,beinvloedbaarheid,hall_orde,richting_interventie,has_box_ids
17,Adviescollege_huis_en_hobbydierenlijst_001,0,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
17,Adviescollege_huis_en_hobbydierenlijst_001,1,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
17,Adviescollege_huis_en_hobbydierenlijst_001,2,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
17,Adviescollege_huis_en_hobbydierenlijst_001,3,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
17,Adviescollege_huis_en_hobbydierenlijst_001,4,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
17,Adviescollege_huis_en_hobbydierenlijst_001,5,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
17,Adviescollege_huis_en_hobbydierenlijst_001,6,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
17,Adviescollege_huis_en_hobbydierenlijst_001,7,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
18,Adviescollege_Nederlandse_Gebarentaal_001,0,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
18,Adviescollege_Nederlandse_Gebarentaal_001,1,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
18,Adviescollege_Nederlandse_Gebarentaal_001,2,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
18,Adviescollege_Nederlandse_Gebarentaal_001,3,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
18,Adviescollege_Nederlandse_Gebarentaal_001,4,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
18,Adviescollege_Nederlandse_Gebarentaal_001,5,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
18,Adviescollege_Nederlandse_Gebarentaal_001,6,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
19,Adviescollege_Nederlandse_Gebarentaal_002,0,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
19,Adviescollege_Nederlandse_Gebarentaal_002,1,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
34,Adviescollege_Openbaarheid_en_Informatiehuishouding_015,0,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
34,Adviescollege_Openbaarheid_en_Informatiehuishouding_015,1,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
34,Adviescollege_Openbaarheid_en_Informatiehuishouding_015,2,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
34,Adviescollege_Openbaarheid_en_Informatiehuishouding_015,3,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
34,Adviescollege_Openbaarheid_en_Informatiehuishouding_015,4,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
34,Adviescollege_Openbaarheid_en_Informatiehuishouding_015,5,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
34,Adviescollege_Openbaarheid_en_Informatiehuishouding_015,6,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
34,Adviescollege_Openbaarheid_en_Informatiehuishouding_015,7,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
34,Adviescollege_Openbaarheid_en_Informatiehuishouding_015,8,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
34,Adviescollege_Openbaarheid_en_Informatiehuishouding_015,9,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
34,Adviescollege_Openbaarheid_en_Informatiehuishouding_015,10,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
34,Adviescollege_Openbaarheid_en_Informatiehuishouding_015,11,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
47,Adviescollege_Openbaarheid_en_Informatiehuishouding_028,0,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
47,Adviescollege_Openbaarheid_en_Informatiehuishouding_028,1,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
47,Adviescollege_Openbaarheid_en_Informatiehuishouding_028,2,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
47,Adviescollege_Openbaarheid_en_Informatiehuishouding_028,3,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
47,Adviescollege_Openbaarheid_en_Informatiehuishouding_028,4,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
47,Adviescollege_Openbaarheid_en_Informatiehuishouding_028,5,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
47,Adviescollege_Openbaarheid_en_Informatiehuishouding_028,6,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
47,Adviescollege_Openbaarheid_en_Informatiehuishouding_028,7,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
47,Adviescollege_Openbaarheid_en_Informatiehuishouding_028,8,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
118,Adviescollege_Openbaarheid_en_Informatiehuishouding_077,0,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
