document_id,unique_id,pd_index,probleem_type,explicitheid,urgentie_type,causaliteitstype,framing_type,kernprobleem_ref,has_box_ids
17,Adviescollege_huis_en_hobbydierenlijst_001,0,kernprobleem,expliciet,structureel,mechanisch,cognitief,,True
17,Adviescollege_huis_en_hobbydierenlijst_001,1,kernprobleem,expliciet,structureel,mechanisch,cognitief,,True
17,Adviescollege_huis_en_hobbydierenlijst_001,2,kernprobleem,expliciet,structureel,mechanisch,instrumenteel,,True
17,Adviescollege_huis_en_hobbydierenlijst_001,3,deelprobleem,expliciet,structureel,mechanisch,instrumenteel,Adviescollege_huis_en_hobbydierenlijst_001-PD-01,True
17,Adviescollege_huis_en_hobbydierenlijst_001,4,deelprobleem,expliciet,structureel,mechanisch,cognitief,Adviescollege_huis_en_hobbydierenlijst_001-PD-02,True
17,Adviescollege_huis_en_hobbydierenlijst_001,5,deelprobleem,impliciet,structureel,mechanisch,cognitief,Adviescollege_huis_en_hobbydierenlijst_001-PD-02,True
17,Adviescollege_huis_en_hobbydierenlijst_001,6,deelprobleem,impliciet,structureel,mechanisch,cognitief,Adviescollege_huis_en_hobbydierenlijst_001-PD-02,True
17,Adviescollege_huis_en_hobbydierenlijst_001,7,deelprobleem,impliciet,structureel,mechanisch,cognitief,Adviescollege_huis_en_hobbydierenlijst_001-PD-02,True
17,Adviescollege_huis_en_hobbydierenlijst_001,8,deelprobleem,impliciet,structureel,mechanisch,instrumenteel,Adviescollege_huis_en_hobbydierenlijst_001-PD-01,True
17,Adviescollege_huis_en_hobbydierenlijst_001,9,deelprobleem,expliciet,structureel,mechanisch,instrumenteel,Adviescollege_huis_en_hobbydierenlijst_001-PD-03,True
17,Adviescollege_huis_en_hobbydierenlijst_001,10,deelprobleem,expliciet,structureel,mechanisch,cognitief,Adviescollege_huis_en_hobbydierenlijst_001-PD-02,True
17,Adviescollege_huis_en_hobbydierenlijst_001,11,deelprobleem,expliciet,toekomstig,mechanisch,cognitief,Adviescollege_huis_en_hobbydierenlijst_001-PD-02,True
17,Adviescollege_huis_en_hobbydierenlijst_001,12,deelprobleem,expliciet,structureel,mechanisch,instrumenteel,Adviescollege_huis_en_hobbydierenlijst_001-PD-01,True
17,Adviescollege_huis_en_hobbydierenlijst_001,13,deelprobleem,impliciet,structureel,mechanisch,cognitief,Adviescollege_huis_en_hobbydierenlijst_001-PD-02,True
17,Adviescollege_huis_en_hobbydierenlijst_001,14,deelprobleem,expliciet,structureel,mechanisch,cognitief,Adviescollege_huis_en_hobbydierenlijst_001-PD-02,True
