document_id,field,field_severity,max,min,present_count,stddev
Adviescollege_Openbaarheid_en_Informatiehuishouding_095,classification.confidence,informatief,85.0,30.0,5,20.5913
Adviescollege_Openbaarheid_en_Informatiehuishouding_095,verification.confidence,informatief,90.0,80.0,5,3.7417
Adviescollege_toetsing_regeldruk_178,classification.confidence,informatief,95.0,95.0,5,0.0
Adviescollege_toetsing_regeldruk_178,verification.confidence,informatief,100.0,98.0,5,0.8
Adviescollege_toetsing_regeldruk_220,classification.confidence,informatief,95.0,95.0,5,0.0
Adviescollege_toetsing_regeldruk_220,verification.confidence,informatief,98.0,98.0,5,0.0
Adviescollege_toetsing_regeldruk_299,classification.confidence,informatief,95.0,95.0,5,0.0
Adviescollege_toetsing_regeldruk_299,verification.confidence,informatief,98.0,98.0,5,0.0
Adviescollege_toetsing_regeldruk_326,classification.confidence,informatief,95.0,95.0,5,0.0
Adviescollege_toetsing_regeldruk_326,verification.confidence,informatief,98.0,98.0,5,0.0
Adviescollege_toetsing_regeldruk_328,classification.confidence,informatief,95.0,95.0,5,0.0
Adviescollege_toetsing_regeldruk_328,verification.confidence,informatief,98.0,98.0,5,0.0
Adviescollege_toetsing_regeldruk_677,classification.confidence,informatief,95.0,95.0,5,0.0
Adviescollege_toetsing_regeldruk_677,verification.confidence,informatief,98.0,98.0,5,0.0
Adviescollege_toetsing_regeldruk_681,classification.confidence,informatief,95.0,95.0,5,0.0
Adviescollege_toetsing_regeldruk_681,verification.confidence,informatief,100.0,98.0,5,0.8
Adviescollege_toetsing_regeldruk_706,classification.confidence,informatief,95.0,95.0,5,0.0
Adviescollege_toetsing_regeldruk_706,verification.confidence,informatief,98.0,98.0,5,0.0
Adviescollege_toetsing_regeldruk_785,classification.confidence,informatief,95.0,95.0,5,0.0
Adviescollege_toetsing_regeldruk_785,verification.confidence,informatief,98.0,98.0,5,0.0
Adviescollege_toetsing_regeldruk_827,classification.confidence,informatief,95.0,95.0,5,0.0
Adviescollege_toetsing_regeldruk_827,verification.confidence,informatief,98.0,98.0,5,0.0
Adviescollege_toetsing_regeldruk_856,classification.confidence,informatief,95.0,95.0,5,0.0
Adviescollege_toetsing_regeldruk_856,verification.confidence,informatief,98.0,98.0,5,0.0
Adviescollege_toetsing_regeldruk_905,classification.confidence,informatief,95.0,95.0,5,0.0
Adviescollege_toetsing_regeldruk_905,verification.confidence,informatief,100.0,98.0,5,0.8
Adviescollege_toetsing_regeldruk_977,classification.confidence,informatief,95.0,95.0,5,0.0
Adviescollege_toetsing_regeldruk_977,verification.confidence,informatief,98.0,98.0,5,0.0
Adviescommissie_onderzoek_arbeidsvoorwaarden_en_FLNA_LVNL_001,classification.confidence,informatief,95.0,95.0,5,0.0
Adviescommissie_onderzoek_arbeidsvoorwaarden_en_FLNA_LVNL_001,verification.confidence,informatief,98.0,98.0,5,0.0
Adviesraad_Migratie_029,classification.confidence,informatief,95.0,95.0,5,0.0
Adviesraad_Migratie_029,verification.confidence,informatief,98.0,98.0,5,0.0
Adviesraad_Migratie_173,classification.confidence,informatief,95.0,95.0,5,0.0
Adviesraad_Migratie_173,verification.confidence,informatief,98.0,98.0,5,0.0
Adviesraad_Migratie_414,classification.confidence,informatief,95.0,95.0,5,0.0
Adviesraad_Migratie_414,verification.confidence,informatief,98.0,90.0,5,3.9192
