document_id,run_01,run_02,run_03,run_04,run_05,stable_status,unique_statuses
Adviescollege_Openbaarheid_en_Informatiehuishouding_095,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,True,SUCCESS
Adviescollege_toetsing_regeldruk_178,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,True,SUCCESS
Adviescollege_toetsing_regeldruk_220,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,True,SUCCESS
Adviescollege_toetsing_regeldruk_299,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,True,SUCCESS
Adviescollege_toetsing_regeldruk_326,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,True,SUCCESS
Adviescollege_toetsing_regeldruk_328,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,True,SUCCESS
Adviescollege_toetsing_regeldruk_677,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,True,SUCCESS
Adviescollege_toetsing_regeldruk_681,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,True,SUCCESS
Adviescollege_toetsing_regeldruk_706,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,True,SUCCESS
Adviescollege_toetsing_regeldruk_785,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,True,SUCCESS
Adviescollege_toetsing_regeldruk_827,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,True,SUCCESS
Adviescollege_toetsing_regeldruk_856,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,True,SUCCESS
Adviescollege_toetsing_regeldruk_905,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,True,SUCCESS
Adviescollege_toetsing_regeldruk_977,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,True,SUCCESS
Adviescommissie_onderzoek_arbeidsvoorwaarden_en_FLNA_LVNL_001,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,True,SUCCESS
Adviesraad_Migratie_029,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,True,SUCCESS
Adviesraad_Migratie_173,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,True,SUCCESS
Adviesraad_Migratie_414,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,True,SUCCESS
Adviesraad_Migratie_485,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,True,SUCCESS
Adviesraad_internationale_vraagstukken_050,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,True,SUCCESS
Adviesraad_internationale_vraagstukken_143,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,True,SUCCESS
Adviesraad_internationale_vraagstukken_196,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,True,SUCCESS
Adviesraad_internationale_vraagstukken_237,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,True,SUCCESS
Adviesraad_internationale_vraagstukken_255,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,True,SUCCESS
Adviesraad_internationale_vraagstukken_405,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,True,SUCCESS
Adviesraad_internationale_vraagstukken_538,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,True,SUCCESS
