elementtype,categorie,n,aandeel_pct,ci95_laag_pct,ci95_hoog_pct
aanbeveling,geen_nieuwe_actie,3230,37.9,36.9,39.0
aanbeveling,onbekend,1655,19.4,18.6,20.3
aanbeveling,bestaand_beleid,1637,19.2,18.4,20.1
aanbeveling,inhoudelijke_beleidsactie,957,11.2,10.6,11.9
aanbeveling,procedurele_actie,862,10.1,9.5,10.8
aanbeveling,later_besluit,164,1.9,1.7,2.2
aanbeveling,onduidelijk,14,0.2,0.1,0.3
probleemdefinitie,geen_nieuwe_actie,2951,43.1,41.9,44.3
probleemdefinitie,onbekend,2574,37.6,36.4,38.7
probleemdefinitie,bestaand_beleid,708,10.3,9.6,11.1
probleemdefinitie,inhoudelijke_beleidsactie,302,4.4,3.9,4.9
probleemdefinitie,procedurele_actie,253,3.7,3.3,4.2
probleemdefinitie,later_besluit,60,0.9,0.7,1.1
probleemdefinitie,onduidelijk,1,0.0,0.0,0.1
