elementtype,categorie,n,aandeel_pct,ci95_laag_pct,ci95_hoog_pct
aanbeveling,gekoppeld_aan_bestaand_beleid,1734,20.4,19.5,21.2
aanbeveling,onduidelijk,1648,19.3,18.5,20.2
aanbeveling,niet_herkenbaar_verwerkt,1301,15.3,14.5,16.1
aanbeveling,herformuleerd,1012,11.9,11.2,12.6
aanbeveling,overgenomen,645,7.6,7.0,8.2
aanbeveling,erkend_zonder_actie,618,7.3,6.7,7.8
aanbeveling,afgewezen,466,5.5,5.0,6.0
aanbeveling,uitgesteld_voor_later_besluit,318,3.7,3.4,4.2
aanbeveling,gedeeltelijk_overgenomen,304,3.6,3.2,4.0
aanbeveling,procedureel_doorgezet,259,3.0,2.7,3.4
aanbeveling,gerelativeerd,214,2.5,2.2,2.9
probleemdefinitie,onduidelijk,1826,26.7,25.6,27.7
probleemdefinitie,gerelativeerd,1624,23.7,22.7,24.7
probleemdefinitie,niet_herkenbaar_verwerkt,1064,15.5,14.7,16.4
probleemdefinitie,erkend_zonder_actie,850,12.4,11.7,13.2
probleemdefinitie,gekoppeld_aan_bestaand_beleid,600,8.8,8.1,9.5
probleemdefinitie,herformuleerd,347,5.1,4.6,5.6
probleemdefinitie,overgenomen,199,2.9,2.5,3.3
probleemdefinitie,afgewezen,136,2.0,1.7,2.3
probleemdefinitie,uitgesteld_voor_later_besluit,99,1.4,1.2,1.8
probleemdefinitie,procedureel_doorgezet,52,0.8,0.6,1.0
probleemdefinitie,gedeeltelijk_overgenomen,52,0.8,0.6,1.0
