advies_id,unique_id,adviescollege_id,college,title,date_published,download_url,n_tokens
9662,Raad_voor_het_Openbaar_Bestuur_624,15,Raad voor het Openbaar Bestuur,Autonoom of automaat?,2005-08-01,https://www.raadopenbaarbestuur.nl/site/binaries/site-content/collections/documents/2005/08/01/autonoom-of-automaat/Autonoom_of_automaat_Adviesrapport_200508.pdf,8000
9650,Raad_voor_het_Openbaar_Bestuur_613,15,Raad voor het Openbaar Bestuur,Advies Commissaris van de Koningin als rijksorgaan,2006-03-01,https://www.raadopenbaarbestuur.nl/site/binaries/site-content/collections/documents/2006/03/31/de-rol-van-de-commissaris-van-de-koningin-als-rijksorgaan/De_burgemeester_van_de_provincie_Adviesrapport_200603.pdf,8000
9588,Raad_voor_het_Openbaar_Bestuur_542,15,Raad voor het Openbaar Bestuur,Besturen over grenzen,2008-05-14,https://www.raadopenbaarbestuur.nl/site/binaries/site-content/collections/documents/2008/05/14/besturen-over-grenzen/Besturen_over_grenzen_Adviesrapport_200805.pdf,8000
9373,Raad_voor_het_Openbaar_Bestuur_334,15,Raad voor het Openbaar Bestuur,Vertrouwen op democratie,2010-02-01,https://www.raadopenbaarbestuur.nl/site/binaries/site-content/collections/documents/2014/12/10/nationaal-investeren-in-lokaal-veiligheidsbeleid/Nationaal_investeren_in_lokaal_veiligheidsbeleid_Adviesrapport_201411.pdf,8000
9470,Raad_voor_het_Openbaar_Bestuur_434,15,Raad voor het Openbaar Bestuur,Kansen en risico's van sociale media in de representatieve democratie,2012-04-01,https://www.raadopenbaarbestuur.nl/site/binaries/site-content/collections/documents/2012/04/02/advies-in-gesprek-of-verkeerd-verbonden/In_gesprek_of_verkeerd_verbonden_Adviesrapport_201204.pdf,8000
9379,Raad_voor_het_Openbaar_Bestuur_344,15,Raad voor het Openbaar Bestuur,Hoe hoort het eigenlijk?,2014-06-01,https://www.raadopenbaarbestuur.nl/site/binaries/site-content/collections/documents/2014/06/12/hoe-hoort-het-eigenlijk-passend-contact-tussen-overheid-en-burger/Hoe_hoort_het_eigenlijk_Adviesrapport_201406.pdf,8000
9310,Raad_voor_het_Openbaar_Bestuur_276,15,Raad voor het Openbaar Bestuur,De bestuurlijke verantwoordelijkheid voor systemen,2016-11-01,https://www.raadopenbaarbestuur.nl/site/binaries/site-content/collections/documents/2016/11/7/de-bestuurlijke-verantwoordelijkheid-voor-systemen/De_bestuurlijke_verantwoordelijkheid_voor_systemen_Adviesrapport_201611.pdf,8000
9225,Raad_voor_het_Openbaar_Bestuur_189,15,Raad voor het Openbaar Bestuur,"Jong geleerd, oud gedaan",2019-06-01,https://www.raadopenbaarbestuur.nl/site/binaries/site-content/collections/documents/2019/06/24/jong-geleerd-oud-gedaan/Jong_geleerd_oud_gedaan_Adviesrapport-201906.pdf,8000
9178,Raad_voor_het_Openbaar_Bestuur_136,15,Raad voor het Openbaar Bestuur,Van Parijs naar Praktijk,2021-01-01,https://www.raadopenbaarbestuur.nl/site/binaries/site-content/collections/documents/2021/01/25/advies-van-parijs-naar-praktijk/Van_Parijs_naar_praktijk_Adviesrapport_20210125.pdf,8000
9132,Raad_voor_het_Openbaar_Bestuur_103,15,Raad voor het Openbaar Bestuur,Di krísis pa enkargo,2022-03-01,https://www.raadopenbaarbestuur.nl/site/binaries/site-content/collections/documents/2022/03/10/di-krisis-pa-enkargo/Di+krisis+pa+enkargo.pdf,3319
1911,Adviesraad_internationale_vraagstukken_491,18,Adviesraad internationale vraagstukken,De Parlementaire Assemblee van de Raad van Europa,2005-02-21,https://www.adviesraadinternationalevraagstukken.nl/site/binaries/site-content/collections/documents/2005/02/21/de-parlementaire-assemblee-van-de-raad-van-europa/De_parlementaire_assemblee_van_de_Raad_van_Europa_AIV-advies-40_200502.pdf,8000
1888,Adviesraad_internationale_vraagstukken_470,18,Adviesraad internationale vraagstukken,Energiek buitenlands beleid,2006-01-01,https://www.adviesraadinternationalevraagstukken.nl/site/binaries/site-content/collections/documents/2005/12/02/energiek-buitenlands-beleid/Energiek_buitenlands_beleid_AIV-Energieraad-advies-46_200512.pdf,8000
1847,Adviesraad_internationale_vraagstukken_434,18,Adviesraad internationale vraagstukken,DEPLOYMENT OF THE ARMED FORCES INTERACTION BETWEEN NATIONAL AND INTERNATIONAL DECISION-MAKING,2007-05-01,https://www.adviesraadinternationalevraagstukken.nl/site/binaries/site-content/collections/documents/2007/05/11/inzet-van-de-krijgsmacht/Deployment_of_the_Armed_Forces_AIV-Advisory-report-56_200705.pdf,8000
1821,Adviesraad_internationale_vraagstukken_393,18,Adviesraad internationale vraagstukken,CRISIS MANAGEMENT OPERATIONS IN FRAGILE STATES THE NEED FOR A COHERENT APPROACH,2009-03-01,https://www.adviesraadinternationalevraagstukken.nl/site/binaries/site-content/collections/documents/2009/03/13/crisisbeheersingsoperaties-in-fragiele-staten/Crisis_Management_Operations_in_Fragile_States_AIV-Advisory-report-64_200903.pdf,8000
1785,Adviesraad_internationale_vraagstukken_364,18,Adviesraad internationale vraagstukken,Combating Piracy at Sea,2010-12-01,https://www.adviesraadinternationalevraagstukken.nl/site/binaries/site-content/collections/documents/2010/12/10/piraterijbestrijding-op-zee/Combating_Piracy_at_Sea_AIV-Advisory-report-72_201012.pdf,8000
1734,Adviesraad_internationale_vraagstukken_318,18,Adviesraad internationale vraagstukken,Nederland en het Europees Parlement,2012-11-01,https://www.adviesraadinternationalevraagstukken.nl/site/binaries/site-content/collections/documents/2012/11/02/nederland-en-het-europees-parlement/Nederland_en_het_Europees_Parlement_AIV-advies-81_201211.pdf,8000
1712,Adviesraad_internationale_vraagstukken_292,18,Adviesraad internationale vraagstukken,PUBLIC SUPPORT FOR THE EUROPEAN UNION,2014-04-01,https://www.adviesraadinternationalevraagstukken.nl/site/binaries/site-content/collections/documents/2014/04/04/naar-een-gedragen-europese-samenwerking/Public_Support_for_the_European_Union_AIV-Advisory-report-88_201404+%284%29.pdf,8000
1676,Adviesraad_internationale_vraagstukken_260,18,Adviesraad internationale vraagstukken,Gedifferentieerde integratie,2015-10-01,https://www.adviesraadinternationalevraagstukken.nl/site/binaries/site-content/collections/documents/2015/10/02/gedifferentieerde-integratie/Gedifferentieerde_integratie__AIV-advies-98_201510.pdf,8000
1630,Adviesraad_internationale_vraagstukken_214,18,Adviesraad internationale vraagstukken,IS DE EUROZONE STORMBESTENDIG?,2017-07-01,https://www.adviesraadinternationalevraagstukken.nl/site/binaries/site-content/collections/documents/2017/07/07/is-de-eurozone-stormbestendig/Is_de_Eurozone_stormbestendig_AIV-advies-105_201707.pdf,8000
1571,Adviesraad_internationale_vraagstukken_153,18,Adviesraad internationale vraagstukken,Regulering van online content,2020-06-24,https://www.adviesraadinternationalevraagstukken.nl/site/binaries/site-content/collections/documents/2020/06/24/regulering-van-online-content/Regulering_van_online_content-AIV-advies-113_202006.pdf,8000
8803,Raad_voor_de_leefomgeving_en_infrastructuur_951,21,Raad voor de leefomgeving en infrastructuur,Gas voor Morgen,2005-01-01,https://www.rli.nl/sites/default/files/aer_advies_06062005_gas_voor_morgen.pdf,8000
8644,Raad_voor_de_leefomgeving_en_infrastructuur_804,21,Raad voor de leefomgeving en infrastructuur,Naar een sterk en houdbaar B&O-plan,2007-03-07,https://www.rli.nl/sites/default/files/200701boplan.pdf,3835
8082,Raad_voor_de_leefomgeving_en_infrastructuur_238,21,Raad voor de leefomgeving en infrastructuur,"Identiteit als troef, Waddenlandschap vol verrassingen",2008-12-17,https://www.rli.nl/sites/default/files/200805identiteitalstroef.pdf,8000
