advies_id,adviescollege_id,college,title,date_published,n_official_candidates,best_jaccard,best_candidate_id,best_rank,best_route,best_llm_label,hit_text,best_title_ratio,title_fallback_candidate_id,title_fallback_rank,title_fallback_date_diff,hit_title,hit
9662,15,Raad voor het Openbaar Bestuur,Autonoom of automaat?,2005-08-01,244,0.0339,kst-30300-VII-11,87,title_route,,False,34.5,blg-571351,4,3678,False,False
9650,15,Raad voor het Openbaar Bestuur,Advies Commissaris van de Koningin als rijksorgaan,2006-03-01,244,0.0046,kst-27425-1,82,title_route,,False,47.3,blg-1208393,26,7089,False,False
9588,15,Raad voor het Openbaar Bestuur,Besturen over grenzen,2008-05-14,244,0.0045,kst-31200-VII-9-b1,40,title_route,NOT_FINAL_SINGLE_REPORT,False,44.8,blg-861730,9,3834,False,False
9373,15,Raad voor het Openbaar Bestuur,Vertrouwen op democratie,2010-02-01,244,0.0207,blg-746152,6,title_route,FINAL_ADVICE_OR_REPORT,False,70.3,kst-26806-4,78,3419,False,False
9470,15,Raad voor het Openbaar Bestuur,Kansen en risico's van sociale media in de representatieve democratie,2012-04-01,244,0.0025,blg-746152,6,title_route,FINAL_ADVICE_OR_REPORT,False,59.9,blg-1207384,36,4856,False,False
9379,15,Raad voor het Openbaar Bestuur,Hoe hoort het eigenlijk?,2014-06-01,244,0.0224,kst-34300-VII-60,150,title_route,,False,90.9,kst-34300-VII-60,150,652,False,False
9310,15,Raad voor het Openbaar Bestuur,De bestuurlijke verantwoordelijkheid voor systemen,2016-11-01,244,0.0294,blg-746152,6,title_route,FINAL_ADVICE_OR_REPORT,False,66.7,kst-26806-4,78,5884,False,False
9225,15,Raad voor het Openbaar Bestuur,"Jong geleerd, oud gedaan",2019-06-01,244,0.0164,blg-1204154,1,attachment_promotion,FINAL_ADVICE_OR_REPORT,False,37.7,blg-1206625,34,2236,False,False
9178,15,Raad voor het Openbaar Bestuur,Van Parijs naar Praktijk,2021-01-01,244,0.0136,blg-1204154,1,attachment_promotion,FINAL_ADVICE_OR_REPORT,False,40.0,blg-1207382,35,1659,False,False
9132,15,Raad voor het Openbaar Bestuur,Di krísis pa enkargo,2022-03-01,244,0.0251,blg-1204154,1,attachment_promotion,FINAL_ADVICE_OR_REPORT,False,33.8,blg-1206625,34,1232,False,False
1911,18,Adviesraad internationale vraagstukken,De Parlementaire Assemblee van de Raad van Europa,2005-02-21,244,0.8807,nds-buza050124-b1,61,attachment_promotion,,True,96.6,nds-buza040226-b1,31,3429,False,True
1888,18,Adviesraad internationale vraagstukken,Energiek buitenlands beleid,2006-01-01,244,0.0078,kst-31200-V-G-b2,28,title_route,FINAL_ADVICE_OR_REPORT,False,57.9,kst-26643-411,110,3795,False,False
1847,18,Adviesraad internationale vraagstukken,DEPLOYMENT OF THE ARMED FORCES INTERACTION BETWEEN NATIONAL AND INTERNATIONAL DECISION-MAKING,2007-05-01,244,0.0019,kst-30467-2-b1,60,attachment_promotion,,False,20.9,blg-144386,16,2618,False,False
1821,18,Adviesraad internationale vraagstukken,CRISIS MANAGEMENT OPERATIONS IN FRAGILE STATES THE NEED FOR A COHERENT APPROACH,2009-03-01,244,0.0014,blg-409029,19,attachment_promotion,FINAL_ADVICE_OR_REPORT,False,18.2,blg-409029,19,2087,False,False
1785,18,Adviesraad internationale vraagstukken,Combating Piracy at Sea,2010-12-01,244,0.001,blg-409029,19,attachment_promotion,FINAL_ADVICE_OR_REPORT,False,30.5,blg-942160,1,3533,False,False
