adviescollege_id,document_id,categorie,link_type,review_oordeel,title,college_name,rank,shortlisted,rerank_score,status
2,stcrt-2020-49660,tijdelijk,canoniek,human_geaccepteerd,"Besluit van 31 augustus 2020, nr. 2020001703 tot instelling van het Adviescollege huis- en hobbydierenlijst (Besluit instelling Adviescollege huis- en hobbydierenlijst)",Adviescollege huis- en hobbydierenlijst,1,True,91.5,shortlisted
4,stcrt-2013-29769,eenmalig,canoniek,human_geaccepteerd,Regeling instelling commissie Evaluatie Politiewet 2012,Commissie Evaluatie Politiewet 2012,1,True,91.5,shortlisted
7,stcrt-2013-12547,eenmalig,canoniek,human_geaccepteerd,Instellingsbesluit Commissie onderzoek elektronisch stemmen in het stemlokaal,Commissie onderzoek elektronisch stemmen,1,True,103.5,shortlisted
9,stb-2021-576,permanent,canoniek,human_geaccepteerd,"Stb. 2021, 576 - Adviescollege Rechtspositie Politieke Ambtsdragers",Adviescollege Rechtspositie Politieke Ambtsdragers,1,True,113.8,shortlisted
10,stb-2013-382,permanent,canoniek,human_geaccepteerd,"Stb. 2013, 382 - Orgaan voor de Friese taal",Orgaan voor de Friese taal,7,True,62.3,shortlisted
12,stb-2021-165,permanent,canoniek,human_geaccepteerd,"Stb. 2021, 165 - Adviescollege Nederlandse Gebarentaal",Adviescollege Nederlandse Gebarentaal,2,True,68.0,shortlisted
13,stb-2023-164,permanent,canoniek,human_geaccepteerd,"Stb. 2023, 164 - Adviescollege Veiligheid Groningen",Adviescollege Veiligheid Groningen - permanent,,False,,missing_from_candidate_pool
13,stcrt-2019-69958,tijdelijk,canoniek,human_geaccepteerd,"Besluit van 17 december 2019, tot instelling van het Adviescollege Veiligheid Groningen",Adviescollege Veiligheid Groningen - permanent,44,False,36.835165,candidate_not_shortlisted
14,stb-1996-623,permanent,canoniek,human_geaccepteerd,"Stb. 1996, 623 - Kiesraad",Kiesraad,,False,,missing_from_candidate_pool
14,stb-2013-289,permanent,canoniek,human_geaccepteerd,"Wet van 3 juli 2013 tot wijziging van de Kieswet houdende maatregelen om het eenvoudiger te maken voor Nederlanders in het buitenland om hun stem uit te brengen, wijziging van de wijze van inlevering van de kandidatenlijsten, aanpassing van de datum van kandidaatstelling en stemming, alsmede regeling van andere onderwerpen",Kiesraad,5,True,72.7,shortlisted
15,stb-1996-623,permanent,canoniek,human_geaccepteerd,"Stb. 1996, 623 - Raad voor het Openbaar Bestuur",Raad voor het Openbaar Bestuur,,False,,missing_from_candidate_pool
16,stb-1998-219,permanent,canoniek,human_geaccepteerd,"Stb. 1998, 219 - Commissie van advies inzake volkenrechtelijke vraagstukken",Commissie van advies inzake volkenrechtelijke vraagstukken,1,True,94.602739,shortlisted
17,stb-1998-208,permanent,canoniek,human_geaccepteerd,"Stb. 1998, 208 - Staatscommissie voor het internationaal privaatrecht",Staatscommissie voor het internationaal privaatrecht,,False,,missing_from_candidate_pool
18,stb-1998-209,permanent,canoniek,human_geaccepteerd,"Stb. 1998, 209 - Adviesraad internationale vraagstukken",Adviesraad internationale vraagstukken,,False,,missing_from_candidate_pool
19,stb-2006-137,permanent,canoniek,human_geaccepteerd,"Stb. 2006, 137 - Raad van deskundigen voor de nationale meetstandaarden",Raad van deskundigen voor de nationale meetstandaarden,16,True,60.5,shortlisted
20,stb-2006-138,tijdelijk,canoniek,klopt,Instellingsbesluit Adviescollege toetsing administratieve lasten 2006,Adviescollege toetsing regeldruk - permanent,4,True,75.8,shortlisted
20,stb-2025-209,permanent,canoniek,human_geaccepteerd,"Wet van 18 juni 2025, houdende regels omtrent de instelling van het Adviescollege toetsing regeldruk (Instellingswet Adviescollege toetsing regeldruk)",Adviescollege toetsing regeldruk - permanent,,False,,missing_from_candidate_pool
21,stb-2012-35,permanent,canoniek,human_geaccepteerd,"Stb. 2012, 35 - Raad voor de leefomgeving en infrastructuur",Raad voor de leefomgeving en infrastructuur,2,True,95.8,shortlisted
22,stb-2018-299,permanent,canoniek,human_geaccepteerd,"Stb. 2018, 299 - Commissie insolventierecht",Commissie insolventierecht - permanent,,False,,missing_from_candidate_pool
23,stb-2011-573,permanent,canoniek,human_geaccepteerd,"Stb. 2011, 573 - College voor de Rechten van de Mens",College voor de Rechten van de Mens,1,True,89.8,shortlisted
24,stb-2000-495,permanent,canoniek,human_geaccepteerd,"Stb. 2000, 495 - Adviesraad Migratie",Adviesraad Migratie,,False,,missing_from_candidate_pool
25,stb-2018-144,permanent,canoniek,human_geaccepteerd,"Stb. 2018, 144 - Autoriteit Persoonsgegevens",Autoriteit Persoonsgegevens,9,True,58.7,shortlisted
26,stb-1997-323,permanent,canoniek,human_geaccepteerd,"Stb. 1997, 323 - Gecombineerde Commissie Vennootschapsrecht",Gecombineerde Commissie Vennootschapsrecht,,False,,missing_from_candidate_pool
27,stb-1997-323,permanent,canoniek,human_geaccepteerd,"Stb. 1997, 323 - Adviescommissie voor burgerlijk procesrecht",Adviescommissie voor burgerlijk procesrecht,,False,,missing_from_candidate_pool
28,stb-2007-215,permanent,canoniek,human_geaccepteerd,"Stb. 2007, 215 - Commissie auteursrecht",commissie auteursrecht - permanent,2,True,70.1,shortlisted
28,stcrt-2006-235-p7-SC77824,tijdelijk,canoniek,human_geaccepteerd,Instellingsbesluit commissie auteursrecht 2006,commissie auteursrecht - permanent,1,True,82.0,shortlisted
29,stb-2014-194,permanent,canoniek,human_geaccepteerd,"Stb. 2014, 194 - Adviesraad voor wetenschap, technologie en innovatie","Adviesraad voor wetenschap, technologie en innovatie",1,True,112.6,shortlisted
30,stb-1997-220,permanent,canoniek,human_geaccepteerd,"Stb. 1997, 220 - Onderwijsraad",Onderwijsraad,,False,,missing_from_candidate_pool
31,stb-1996-577,permanent,canoniek,human_geaccepteerd,Wet op het specifiek cultuurbeleid,Raad voor Cultuur,,False,,missing_from_candidate_pool
32,stb-2008-487,permanent,canoniek,human_geaccepteerd,Wet van 13 november 2008 tot wijziging van de Gezondheidswet in verband met de integratie van de RGO in de Gezondheidsraad en enige andere wijzigingen met betrekking tot de Gezondheidsraad,Gezondheidsraad,5,True,63.4,shortlisted
33,stb-2022-390,permanent,canoniek,human_geaccepteerd,"Stb. 2022, 390 - Nederlandse Sportraad",Nederlandse Sportraad - permanent,1,True,72.290323,shortlisted
33,stcrt-2022-8400,tijdelijk,canoniek,human_geaccepteerd,"Besluit van de Minister voor Langdurige Zorg en Sport van 22 maart 2022, kenmerk 3338260-1026393-WJZ, houdende instelling van de Nederlandse Sportraad als tijdelijk adviescollege",Nederlandse Sportraad - permanent,10,False,19.0,candidate_not_shortlisted
34,stb-2014-469,permanent,canoniek,human_geaccepteerd,"Stb. 2014, 469 - Raad voor Volksgezondheid en Samenleving",Raad voor Volksgezondheid en Samenleving,1,True,154.6,shortlisted
35,stcrt-2009-10354,eenmalig,canoniek,human_geaccepteerd,"Stcrt. 2009, 10354 - Staatscommissie Grondwet",Staatscommissie Grondwet,1,True,109.5,shortlisted
36,stcrt-2012-19264,eenmalig,canoniek,human_geaccepteerd,Regeling instelling Commissie kaderstelling en toezicht woningcorporaties,"Commissie kaderstelling en toezicht
woningcorporaties",2,True,97.5,shortlisted
37,stcrt-2012-10848,eenmalig,canoniek,human_geaccepteerd,"Stcrt. 2012, 10848 - Evaluatiecommissie Wet veiligheidsregios en het stelsel van rampenbestrijding en crisisbeheersing","Evaluatiecommissie Wet veiligheidsregio’s en
het stelsel van rampenbestrijding en
crisisbeheersing",1,True,73.5,shortlisted
38,stcrt-2012-22846,eenmalig,canoniek,human_geaccepteerd,Instellingsbesluit Commissie Structuur Nederlandse Banken,Commissie Structuur Nederlandse Banken,,False,,no_candidates_for_phase
39,stcrt-2014-10221,eenmalig,canoniek,human_geaccepteerd,"Stcrt. 2014, 10221 - Commissie verzekeraars",Commissie verzekeraars,1,True,91.5,shortlisted
40,stcrt-2014-12556,eenmalig,canoniek,human_geaccepteerd,"Stcrt. 2014, 12556 - Staatscommissie herijking ouderschap",Staatscommissie herijking ouderschap,1,True,91.5,shortlisted
41,stcrt-2014-25436,eenmalig,canoniek,human_geaccepteerd,"Stcrt. 2014, 25436 - Commissie van wijzen inzake hulp bij zelfdoding aan mensen die hun leven voltooid achten","Commissie van wijzen inzake hulp bij zelfdoding
aan mensen die hun leven voltooid achten",1,True,115.5,shortlisted
42,stcrt-2015-10783,eenmalig,canoniek,human_geaccepteerd,"Stcrt. 2015, 10783 - Platform Onderwijs 2032",Platform Onderwijs 2032,1,True,115.5,shortlisted
43,stcrt-2015-4919,eenmalig,canoniek,human_geaccepteerd,Instellingsregeling Commissie onderzoek oorzaken kostenstijgingen stelsel gesubsidieerde rechtsbijstand en vernieuwing van het stelsel,"Commissie onderzoek oorzaken kostenstijgingen stelsel gesubsidieerde
rechtsbijstand en vernieuwing van het stelsel",1,True,103.5,shortlisted
44,stcrt-2015-16692,eenmalig,canoniek,human_geaccepteerd,"Regeling van de Staatssecretaris van Infrastructuur en Milieu en de Minister voor Wonen en Rijksdienst van 15 april 2015 nr. IENM/BSK-2015/42124, houdende instelling van de Adviescommissie Onderzoek arbeidsvoorwaarden en FLNA LVNL (Regeling instelling Adviescommissie Onderzoek arbeidsvoorwaarden en FLNA LVNL)",Adviescommissie onderzoek arbeidsvoorwaarden en FLNA LVNL,,False,,no_candidates_for_phase
45,stcrt-2015-15848,eenmalig,canoniek,human_geaccepteerd,Regeling instelling Commissie Omgaan met risico's van geinduceerde aardbevingen,Commissie Omgaan met risico’s van geïnduceerde aardbevingen,,False,,no_candidates_for_phase
46,stcrt-2015-47139,eenmalig,canoniek,human_geaccepteerd,Instellingsregeling Commissie rechtseenheid bestuursrecht,Commissie rechtseenheid bestuursrecht,,False,,no_candidates_for_phase
47,stcrt-2016-5624,eenmalig,canoniek,human_geaccepteerd,"Regeling van de Minister van Veiligheid en Justitie en de Minister voor Wonen en Rijksdienst van 29 januari 2016, nr. 717761, houdende instelling van de commissie Evaluatie Wet herziening gerechtelijke kaart",Commissie Evaluatie Wet herziening gerechtelijke kaart,1,True,115.5,shortlisted
48,stcrt-2016-48283,eenmalig,canoniek,human_geaccepteerd,Regeling instelling Commissie Evaluatie puntentoekenning gesubsidieerde rechtsbijstand,Commissie evaluatie puntentoekenning gesubsidieerde rechtsbijstand - I,1,True,95.5,shortlisted
