advies,n_candidates,top1,top1_route,top1_correct,true_rank
Adviescollege_Meten_en_Berekenen_Stikstof_001,13,kst-35334-Y,official_title_url_response_pool,True,1
Adviescollege_Nederlandse_Gebarentaal_001,10,kst-32820-539,official_title_url_response_pool,True,1
Adviescollege_Openbaarheid_en_Informatiehuishouding_186,60,kst-32802-104,official_title_url_response_pool,False,3
Adviescollege_Openbaarheid_en_Informatiehuishouding_200,59,kst-22861-48,official_title_url_response_pool,True,1
Adviescollege_Stikstofproblematiek_001,78,kst-35334-W,official_title_url_response_pool,True,1
Adviescollege_dialooggroep_slavernijverleden_001,14,kst-35925-VII-167,official_title_url_response_pool,False,
Adviescollege_onderzoek_stelsel_schadevergoeding_voor_slachtoffers_van_strafbare_feiten_001,9,kst-33552-C,official_title_url_response_pool,True,1
Adviescollege_publieke_omroep_001,59,kst-32827-292,official_title_url_response_pool,False,12
Adviescollege_toekomstbestendig_stelsel_bewaken_en_beveiligen_001,144,kst-29911-336,official_title_url_response_pool,True,1
Adviescommissie_bekostiging_hoger_onderwijs_en_onderzoek_001,8,10808,classified_response_pool,False,2
Adviescommissie_experiment_gesloten_coffeeshopketen_001,123,blg-876646,official_title_url_response_pool,True,1
Adviesraad_Migratie_124,291,10930,classified_response_pool,False,
Adviesraad_Migratie_211,269,kst-32317-579,opening_context,True,1
Adviesraad_Migratie_242,527,kst-30573-197,official_title_url_response_pool,False,
Adviesraad_Migratie_357,613,kst-19637-2121,official_title_url_response_pool,False,
Adviesraad_internationale_vraagstukken_268,146,kst-33783-32,official_title_url_response_pool,False,5
Adviesraad_internationale_vraagstukken_342,147,kst-34000-V-42,official_title_url_response_pool,False,2
Adviesraad_internationale_vraagstukken_516,146,kst-30300-V-141,official_title_url_response_pool,False,4
Adviesraad_voor_wetenschap_technologie_en_innovatie_271,62,kst-33009-13,official_title_url_response_pool,False,
Bestuurlijke_Adviesraad_Kinderopvangtoeslag_002,125,blg-1094095,set_3_response_signals,True,1
College_voor_de_Rechten_van_de_Mens_164,80,kst-33826-56,official_title_url_response_pool,True,1
College_voor_de_Rechten_van_de_Mens_883,62,blg-550521,official_title_url_response_pool,True,1
Commissie_Toekomst_Accountancy_001,252,10846,classified_response_pool,False,2
Commissie_evaluatie_Wet_veiligheidsregio_s_001,274,10823,classified_response_pool,False,
Commissie_herijking_tarieven_ambtshandelingen_gerechtsdeurwaarders_2019_001,22,kst-29279-574,official_title_url_response_pool,True,1
Commissie_herziening_wetgeving_ambtsdelicten_Kamerleden_en_bewindspersonen_001,48,kst-34871-J,official_title_url_response_pool,False,7
Commissie_knelgevallen_fosfaatrechten_001,274,10835,classified_response_pool,False,9
Commissie_van_wijzen_inzake_hulp_bij_zelfdoding_aan_mensen_die_hun_leven_voltooid_achten_001,22,kst-32647-55,official_title_url_response_pool,True,1
Commissie_verzekeraars_001,517,10851,classified_response_pool,False,2
Gezondheidsraad_154,148,10818,classified_response_pool,False,2
Gezondheidsraad_307,294,kst-29323-187,set_3_response_signals,True,1
Gezondheidsraad_429,296,10918,classified_response_pool,False,3
Kiesraad_140,138,kst-31142-54,official_title_url_response_pool,False,9
Onderwijsraad_018,61,kst-31293-785,official_title_url_response_pool,False,2
Onderwijsraad_029,164,kst-33223-8,official_title_url_response_pool,True,1
Onderwijsraad_069,112,kst-21501-34-401,official_title_url_response_pool,True,1
Onderwijsraad_104,286,kst-31293-610,official_title_url_response_pool,True,1
Onderwijsraad_207,226,kst-35000-VIII-11,official_title_url_response_pool,True,1
Onderwijsraad_248,218,kst-32034-22,official_title_url_response_pool,True,1
Onderwijsraad_253,218,kst-35300-VIII-136,official_title_url_response_pool,False,6
Onderwijsraad_276,230,kst-22452-52,official_title_url_response_pool,True,1
Onderwijsraad_298,248,kst-31288-487,official_title_url_response_pool,True,1
Onderwijsraad_308,248,kst-31524-288,official_title_url_response_pool,True,1
Onderwijsraad_323,290,kst-31497-148,official_title_url_response_pool,True,1
Onderwijsraad_332,290,kst-31007-32,official_title_url_response_pool,True,1
Raad_voor_Cultuur_137,216,kst-32820-484,official_title_url_response_pool,False,4
Raad_voor_Cultuur_149,216,kst-32820-484,official_title_url_response_pool,True,1
Raad_voor_Cultuur_198,250,kst-32820-416,official_title_url_response_pool,True,1
Raad_voor_Cultuur_564,125,kst-32820-484,official_title_url_response_pool,False,2
Raad_voor_Volksgezondheid_en_Samenleving_066,131,kst-27529-289,official_title_url_response_pool,True,1
Raad_voor_Volksgezondheid_en_Samenleving_097,292,blg-1026309,official_title_url_response_pool,False,4
Raad_voor_Volksgezondheid_en_Samenleving_394,247,kst-32620-89,official_title_url_response_pool,True,1
Raad_voor_Volksgezondheid_en_Samenleving_733,118,kst-27807-21,official_title_url_response_pool,False,
